simulated_k53_l25_82,SEQ_2,MST_27,SEQ_1,SEQ_14,simulated_k53_l25_47,MST_30,SEQ_13,SEQ_31,MST_42,SEQ_28,simulated_k53_l25_48,MST_8,simulated_k53_l25_57,SEQ_24,MST_9,simulated_k53_l25_103,SEQ_42,simulated_k53_l25_45,MST_25,SEQ_29,SEQ_6,MST_13,simulated_k53_l25_76,simulated_k53_l25_75,simulated_k53_l25_99,SEQ_37,MST_2,simulated_k53_l25_62,SEQ_33,simulated_k53_l25_93,MST_26,simulated_k53_l25_54,SEQ_15,MST_6,SEQ_20,simulated_k53_l25_64,simulated_k53_l25_102,SEQ_7,SEQ_43,simulated_k53_l25_85,simulated_k53_l25_22,simulated_k53_l25_18,SEQ_21,MST_17,MST_44,simulated_k53_l25_46,MST_1,SEQ_30,simulated_k53_l25_94,simulated_k53_l25_73,simulated_k53_l25_100,SEQ_8,MST_39,MST_22,MST_38,MST_10,SEQ_22,SEQ_44,MST_21,MST_32,SEQ_12,SEQ_35,SEQ_41,simulated_k53_l25_77,simulated_k53_l25_72,simulated_k53_l25_58,SEQ_5,SEQ_32,SEQ_38,simulated_k53_l25_84,SEQ_40,simulated_k53_l25_30,MST_45,simulated_k53_l25_91,SEQ_4,SEQ_26,MST_11,SEQ_9,SEQ_34,MST_5,simulated_k53_l25_101,simulated_k53_l25_74,MST_12,simulated_k53_l25_50,MST_24,simulated_k53_l25_95,MST_47,SEQ_18,simulated_k53_l25_80,simulated_k53_l25_24,simulated_k53_l25_66,SEQ_25,simulated_k53_l25_68,simulated_k53_l25_88,MST_18,simulated_k53_l25_37,MST_20,MST_33,SEQ_11,SEQ_10,simulated_k53_l25_36,SEQ_36,MST_14,MST_28,SEQ_17,MST_40,MST_41,SEQ_19,simulated_k53_l25_98,MST_19,SEQ_39,MST_23,MST_36,simulated_k53_l25_78,MST_43,SEQ_27,simulated_k53_l25_89,SEQ_23,SEQ_16,MST_37,simulated_k53_l25_96,simulated_k53_l25_40,simulated_k53_l25_104,simulated_k53_l25_87,SEQ_45,simulated_k53_l25_56,MST_15,MST_35,MST_4,MST_34,MST_46,SEQ_0,SEQ_46,SEQ_3,simulated_k53_l25_97,simulated_k53_l25_52,simulated_k53_l25_86,simulated_k53_l25_90,MST_31,MST_7,simulated_k53_l25_53,MST_29,MST_3,simulated_k53_l25_38,simulated_k53_l25_92,MST_16
,,,,8.0,,,7.0,13.0,,12.0,,,,12.0,,,14.0,,,12.0,,,,,,14.0,,,14.0,,,,10.0,,11.0,,,,14.0,,,,12.0,,,,,12.0,,,,,,,,,13.0,14.0,,,3.0,14.0,14.0,,,,,13.0,14.0,,14.0,,,,,13.0,,,14.0,,,,,,,,,12.0,,,,12.0,,,,,,,0.0,,,14.0,,,11.0,,,11.0,,,14.0,,,,,13.0,,14.0,11.0,,,,,,11.0,,,,,,,,4.0,,,,,,,,,,,,,
,,,,8.0,,,6.0,10.0,,9.0,,,,8.0,,,10.0,,,9.0,,,,,,10.0,,,10.0,,,,7.0,,4.0,,,,10.0,,,,7.0,,,,,9.0,,,,,,,,,9.0,10.0,,,5.0,10.0,10.0,,,,,10.0,10.0,,10.0,,,,,8.0,,,10.0,,,,,,,,,7.0,,,,8.0,,,,,,,4.0,0.0,,10.0,,,6.0,,,4.0,,,10.0,,,,,8.0,,10.0,7.0,,,,,,10.0,,,,,,,,3.0,,,,,,,,,,,,,
16.0,7.0,14.0,5.0,15.0,7.0,12.0,14.0,13.0,12.0,12.0,7.0,9.0,7.0,14.0,10.0,15.0,12.0,18.0,14.0,12.0,10.0,14.0,17.0,18.0,19.0,12.0,15.0,19.0,12.0,13.0,14.0,14.0,15.0,9.0,12.0,8.0,8.0,10.0,12.0,17.0,,,13.0,15.0,12.0,15.0,7.0,12.0,13.0,16.0,19.0,11.0,12.0,13.0,12.0,11.0,15.0,12.0,12.0,12.0,16.0,12.0,12.0,15.0,13.0,9.0,7.0,13.0,12.0,18.0,12.0,,12.0,12.0,10.0,13.0,10.0,10.0,12.0,9.0,8.0,15.0,13.0,16.0,15.0,14.0,5.0,14.0,14.0,,15.0,14.0,14.0,6.0,17.0,19.0,14.0,13.0,14.0,12.0,0.0,12.0,16.0,13.0,14.0,12.0,12.0,12.0,14.0,14.0,12.0,13.0,12.0,16.0,12.0,13.0,13.0,14.0,17.0,12.0,15.0,17.0,15.0,5.0,14.0,16.0,14.0,12.0,7.0,13.0,14.0,3.0,5.0,9.0,15.0,13.0,18.0,15.0,12.0,7.0,14.0,13.0,5.0,20.0,12.0,15.0
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,17.0,,,,,,,,7.0,,,,,,,,,,,,,
,7.0,13.0,5.0,10.0,,12.0,7.0,13.0,14.0,12.0,,,,13.0,,,14.0,,14.0,12.0,6.0,,,,,14.0,,,14.0,,13.0,,10.0,,9.0,,,6.0,14.0,,,,12.0,10.0,14.0,,,12.0,,,,8.0,14.0,10.0,14.0,,13.0,14.0,9.0,12.0,0.0,14.0,14.0,,,,8.0,13.0,14.0,,14.0,,14.0,,10.0,12.0,,3.0,14.0,,,,,,13.0,,5.0,10.0,,,,13.0,,,11.0,,10.0,13.0,3.0,5.0,,14.0,0.0,12.0,9.0,14.0,14.0,9.0,,9.0,14.0,12.0,14.0,,14.0,12.0,,14.0,11.0,14.0,,,,,10.0,,7.0,14.0,,13.0,13.0,3.0,5.0,9.0,,,,,12.0,,,12.0,,,,10.0
,7.0,,4.0,8.0,,1.0,7.0,2.0,3.0,1.0,,,,1.0,,,3.0,,,1.0,10.0,,,,,3.0,,,3.0,,,,9.0,,5.0,,,11.0,3.0,,,,4.0,,3.0,,,1.0,,,,12.0,3.0,,3.0,,3.0,3.0,,1.0,12.0,3.0,3.0,,,,10.0,2.0,3.0,,3.0,,3.0,,10.0,0.0,,5.0,3.0,,,,,,,,7.0,7.0,,,,1.0,,,,,,2.0,13.0,8.0,,3.0,,0.0,7.0,3.0,3.0,5.0,,,3.0,,3.0,,3.0,0.0,,3.0,10.0,3.0,,,,,16.0,,,3.0,,2.0,15.0,4.0,7.0,8.0,,,,,1.0,,,0.0,,,,
,,,,,,,,8.0,,6.0,,,,7.0,,,9.0,,,6.0,,,,,,9.0,,,9.0,,,,,,2.0,,,,9.0,,,,5.0,,,,,6.0,,,,,,,,,6.0,9.0,,,,9.0,9.0,,,,,8.0,9.0,,9.0,,,,,7.0,,,9.0,,,,,,,,,1.0,,,,7.0,,,,,,,,,,9.0,,,0.0,,,2.0,,,9.0,,,,,7.0,,6.0,,,,,,,13.0,,,,,,,,6.0,,,,,,,,,,,,,
,6.0,,4.0,9.0,,,8.0,1.0,0.0,1.0,,,,4.0,,,0.0,,,1.0,11.0,,,,,0.0,,,0.0,,,,10.0,,5.0,,,12.0,0.0,,,,7.0,,0.0,,,1.0,,,,14.0,,,,,6.0,0.0,,,14.0,0.0,0.0,,,,11.0,1.0,0.0,,0.0,,0.0,,11.0,3.0,,8.0,0.0,,,,,,,,7.0,9.0,,,,4.0,,,,,,,14.0,10.0,,0.0,,,9.0,0.0,0.0,5.0,,,0.0,,,,0.0,3.0,,6.0,11.0,,,,,,17.0,,,,,,16.0,3.0,7.0,8.0,,,,,,,,,,,,
,6.0,,4.0,9.0,,,8.0,1.0,0.0,1.0,,,,4.0,,,0.0,,,1.0,11.0,,,,,0.0,,,0.0,,,,10.0,,5.0,,,12.0,0.0,,,,7.0,,0.0,,,1.0,,,,14.0,,,,,6.0,0.0,,,14.0,0.0,0.0,,,,11.0,1.0,0.0,,0.0,,0.0,,11.0,3.0,,8.0,0.0,,,,,,,,7.0,9.0,,,,4.0,,,,,,,14.0,10.0,,0.0,,,9.0,,0.0,5.0,,,0.0,,,,0.0,3.0,,6.0,11.0,,,,,,17.0,,,,,,16.0,3.0,7.0,8.0,,,,,,,,,,,,
,,,,,,,,4.0,,4.0,,,,5.0,,,5.0,,,4.0,,,,,,5.0,,,5.0,,,,,,0.0,,,,5.0,,,,3.0,,,,,4.0,,,,,,,,,3.0,5.0,,,,5.0,5.0,,,,,4.0,5.0,,5.0,,,,,5.0,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,0.0,,,5.0,,,,,5.0,,4.0,,,,,,,14.0,,,,,,,,4.0,,,,,,,,,,,,,
,6.0,6.0,4.0,8.0,,5.0,9.0,5.0,4.0,5.0,,11.0,,6.0,11.0,10.0,4.0,,7.0,5.0,12.0,12.0,,,11.0,4.0,15.0,,4.0,,6.0,,9.0,9.0,7.0,,12.0,11.0,4.0,,,,8.0,9.0,4.0,,3.0,5.0,,,11.0,12.0,4.0,7.0,4.0,12.0,7.0,4.0,7.0,5.0,12.0,4.0,4.0,,,,10.0,5.0,4.0,,4.0,,4.0,,10.0,5.0,7.0,7.0,4.0,7.0,12.0,,9.0,,7.0,,5.0,9.0,,,,6.0,,,10.0,,9.0,5.0,12.0,9.0,,4.0,12.0,5.0,9.0,4.0,4.0,7.0,0.0,9.0,4.0,8.0,4.0,,4.0,5.0,,7.0,10.0,4.0,,,10.0,,14.0,,9.0,4.0,6.0,5.0,16.0,3.0,5.0,7.0,,,,,5.0,10.0,,5.0,4.0,,,8.0
,4.0,7.0,4.0,5.0,,6.0,3.0,8.0,9.0,6.0,,,,7.0,,,9.0,,6.0,6.0,9.0,,,,,9.0,,,9.0,,7.0,,4.0,,2.0,,,5.0,9.0,,,,5.0,,9.0,,,6.0,,,,7.0,9.0,3.0,9.0,,6.0,9.0,2.0,6.0,9.0,9.0,9.0,,,,7.0,8.0,9.0,,9.0,,9.0,,6.0,7.0,,6.0,9.0,,,,,,6.0,,6.0,1.0,,,,7.0,,,,,1.0,8.0,11.0,6.0,,9.0,,7.0,0.0,9.0,9.0,2.0,,0.0,9.0,5.0,9.0,,9.0,7.0,,6.0,4.0,9.0,,,,,13.0,,,9.0,,8.0,14.0,2.0,6.0,7.0,,,,,6.0,,,7.0,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17.0,,,,,,,,7.0,,,,,,,,,,,,,
,5.0,4.0,4.0,8.0,,5.0,8.0,6.0,7.0,5.0,,,,4.0,,,7.0,,3.0,5.0,10.0,,,,,7.0,,,7.0,,4.0,,8.0,,3.0,,,9.0,7.0,,,,0.0,,7.0,,,5.0,,,,11.0,7.0,,7.0,,2.0,7.0,,5.0,12.0,7.0,7.0,,,,9.0,6.0,7.0,,7.0,,7.0,,9.0,4.0,,6.0,7.0,,,,,,2.0,,6.0,5.0,,,,4.0,,,,,,6.0,12.0,7.0,,7.0,,4.0,5.0,7.0,7.0,3.0,,,7.0,0.0,7.0,,7.0,4.0,,3.0,9.0,7.0,,,,,14.0,,,7.0,,6.0,15.0,3.0,6.0,8.0,,,,,5.0,,,4.0,,,,
,6.0,,4.0,9.0,,,8.0,1.0,0.0,1.0,,,,4.0,,,0.0,,,1.0,11.0,,,,,0.0,,,0.0,,,,10.0,,5.0,,,12.0,0.0,,,,7.0,,0.0,,,1.0,,,,14.0,0.0,,0.0,,6.0,0.0,,,14.0,0.0,0.0,,,,11.0,1.0,0.0,,0.0,,0.0,,11.0,3.0,,8.0,0.0,,,,,,,,7.0,9.0,,,,4.0,,,,,,,14.0,10.0,,0.0,,,9.0,0.0,0.0,5.0,,,0.0,,0.0,,0.0,3.0,,6.0,11.0,0.0,,,,,17.0,,,,,,16.0,3.0,7.0,8.0,,,,,,,,,,,,
12.0,6.0,12.0,4.0,9.0,,11.0,10.0,11.0,12.0,11.0,,10.0,,12.0,9.0,11.0,12.0,,12.0,11.0,10.0,11.0,,,15.0,12.0,14.0,,12.0,11.0,12.0,,10.0,7.0,9.0,,18.0,10.0,12.0,10.0,,,11.0,10.0,12.0,,7.0,11.0,11.0,,15.0,11.0,12.0,10.0,12.0,11.0,12.0,12.0,9.0,11.0,10.0,12.0,12.0,,,,9.0,11.0,12.0,10.0,12.0,,12.0,14.0,9.0,11.0,7.0,7.0,12.0,8.0,18.0,,8.0,,12.0,10.0,4.0,10.0,11.0,,,12.0,,14.0,11.0,,10.0,11.0,11.0,8.0,,12.0,10.0,11.0,9.0,12.0,12.0,9.0,12.0,9.0,12.0,11.0,12.0,0.0,12.0,11.0,11.0,12.0,11.0,12.0,11.0,,11.0,15.0,15.0,,10.0,12.0,6.0,11.0,15.0,2.0,4.0,8.0,13.0,,9.0,14.0,11.0,9.0,,11.0,4.0,,14.0,9.0
,6.0,,4.0,9.0,,,8.0,1.0,,1.0,,,,4.0,,,0.0,,,1.0,11.0,,,,,0.0,,,0.0,,,,10.0,,5.0,,,12.0,0.0,,,,7.0,,0.0,,,1.0,,,,14.0,,,,,6.0,0.0,,,14.0,0.0,0.0,,,,11.0,1.0,0.0,,0.0,,0.0,,11.0,3.0,,8.0,0.0,,,,,,,,7.0,9.0,,,,4.0,,,,,,,14.0,10.0,,0.0,,,9.0,,,5.0,,,0.0,,,,0.0,3.0,,6.0,11.0,,,,,,17.0,,,,,,16.0,3.0,7.0,8.0,,,,,,,,,,,,
,,,,,,,,2.0,,1.0,,,,,,,3.0,,,1.0,,,,,,3.0,,,3.0,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,3.0,,,,3.0,3.0,,,,,2.0,3.0,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,0.0,,,,,,,,,16.0,,,,,,,,7.0,,,,,,,,,,,,,
,6.0,8.0,4.0,10.0,,7.0,11.0,7.0,8.0,7.0,,10.0,,8.0,12.0,11.0,8.0,,9.0,7.0,11.0,14.0,,,17.0,8.0,15.0,,8.0,6.0,8.0,,12.0,5.0,7.0,,15.0,12.0,8.0,,,,9.0,12.0,8.0,,5.0,7.0,6.0,,17.0,12.0,8.0,8.0,8.0,12.0,9.0,8.0,7.0,7.0,14.0,8.0,8.0,,,,8.0,7.0,8.0,,8.0,,8.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,15.0,,11.0,,9.0,9.0,4.0,11.0,,,,8.0,,,13.0,,11.0,7.0,14.0,10.0,,8.0,14.0,8.0,11.0,8.0,8.0,7.0,10.0,11.0,8.0,9.0,8.0,,8.0,8.0,0.0,9.0,13.0,8.0,10.0,,11.0,,14.0,,11.0,8.0,6.0,7.0,13.0,4.0,4.0,7.0,11.0,,,3.0,7.0,8.0,,8.0,4.0,,8.0,10.0
,,,,,,,,5.0,,4.0,,,,2.0,,,6.0,,,4.0,,,,,,6.0,,,6.0,,,,,,,,,,6.0,,,,,,,,,4.0,,,,,,,,,,6.0,,,,6.0,6.0,,,,,5.0,6.0,,6.0,,,,,3.0,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,6.0,,,,,,,,,6.0,,,,,3.0,,0.0,,,,,,,16.0,,,,,,,,7.0,,,,,,,,,,,,,
,,,,,,,,10.0,,9.0,,,,10.0,,,11.0,,,9.0,,,,,,11.0,,,11.0,,,,,,4.0,,,,11.0,,,,9.0,,,,,9.0,,,,,,,,,10.0,11.0,,,,11.0,11.0,,,,,10.0,11.0,,11.0,,,,,10.0,,,11.0,,,,,,,,,5.0,,,,10.0,,,,,,,,,,11.0,,,4.0,,,4.0,,,11.0,,,,,10.0,,11.0,0.0,,,,,,14.0,,,,,,,,7.0,,,,,,,,,,,,,
,6.0,,4.0,9.0,,,8.0,1.0,0.0,1.0,,,,4.0,,,0.0,,,1.0,11.0,,,,,0.0,,,0.0,,,,10.0,,5.0,,,12.0,0.0,,,,7.0,,0.0,,,1.0,,,,14.0,0.0,,0.0,,6.0,0.0,,,14.0,0.0,0.0,,,,11.0,1.0,0.0,,0.0,,0.0,,11.0,3.0,,8.0,0.0,,,,,,,,7.0,9.0,,,,4.0,,,,,,,14.0,10.0,,0.0,,,9.0,0.0,0.0,5.0,,,0.0,,,,0.0,3.0,,6.0,11.0,0.0,,,,,17.0,,,,,,16.0,3.0,7.0,8.0,,,,,,,,,,,,
,8.0,13.0,5.0,10.0,,11.0,12.0,11.0,12.0,11.0,,9.0,,13.0,10.0,12.0,12.0,,13.0,11.0,10.0,12.0,,,15.0,12.0,14.0,,12.0,,13.0,,13.0,9.0,8.0,,19.0,11.0,12.0,,,,12.0,13.0,12.0,,10.0,11.0,,,15.0,10.0,12.0,9.0,12.0,10.0,13.0,12.0,8.0,11.0,11.0,12.0,12.0,,,,9.0,11.0,12.0,,12.0,,12.0,,10.0,12.0,6.0,6.0,12.0,11.0,19.0,,10.0,,13.0,,5.0,12.0,,,,13.0,,,13.0,,12.0,11.0,12.0,9.0,,12.0,11.0,12.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,12.0,,12.0,12.0,,13.0,13.0,12.0,0.0,,12.0,,13.0,,12.0,12.0,8.0,11.0,14.0,3.0,5.0,11.0,13.0,,,,11.0,9.0,,12.0,5.0,,,10.0
11.0,9.0,8.0,6.0,8.0,15.0,6.0,10.0,6.0,7.0,6.0,15.0,9.0,16.0,8.0,9.0,6.0,7.0,14.0,8.0,6.0,11.0,13.0,14.0,12.0,14.0,7.0,15.0,11.0,7.0,9.0,8.0,7.0,9.0,10.0,6.0,15.0,16.0,9.0,7.0,9.0,,,8.0,9.0,7.0,16.0,8.0,6.0,9.0,14.0,14.0,12.0,7.0,7.0,7.0,12.0,8.0,7.0,6.0,6.0,14.0,7.0,7.0,13.0,8.0,14.0,11.0,6.0,7.0,9.0,7.0,,7.0,11.0,11.0,8.0,7.0,7.0,7.0,9.0,16.0,13.0,10.0,15.0,8.0,11.0,4.0,9.0,10.0,,7.0,8.0,13.0,18.0,11.0,,9.0,6.0,13.0,9.0,,7.0,14.0,8.0,9.0,7.0,7.0,6.0,11.0,9.0,7.0,8.0,7.0,12.0,7.0,8.0,11.0,8.0,11.0,7.0,10.0,0.0,6.0,18.0,16.0,8.0,10.0,7.0,9.0,6.0,15.0,4.0,4.0,9.0,12.0,14.0,10.0,12.0,6.0,11.0,9.0,8.0,6.0,,11.0,8.0
,5.0,6.0,4.0,7.0,,6.0,9.0,6.0,7.0,6.0,,9.0,,6.0,10.0,,7.0,,6.0,6.0,10.0,13.0,,,,7.0,15.0,,7.0,,6.0,,10.0,8.0,4.0,,,10.0,7.0,,,,5.0,10.0,7.0,,6.0,6.0,,,,11.0,7.0,5.0,7.0,11.0,6.0,7.0,4.0,6.0,13.0,7.0,7.0,,,,9.0,6.0,7.0,,7.0,,7.0,,9.0,6.0,6.0,6.0,7.0,7.0,,,8.0,,6.0,,5.0,7.0,,,,6.0,,,10.0,,7.0,6.0,13.0,8.0,,7.0,13.0,6.0,7.0,7.0,7.0,4.0,,7.0,7.0,5.0,7.0,,7.0,6.0,,6.0,10.0,7.0,,,0.0,,15.0,,9.0,7.0,5.0,6.0,14.0,3.0,5.0,7.0,,,,,6.0,9.0,,6.0,4.0,,,7.0
,7.0,17.0,5.0,12.0,,15.0,12.0,16.0,15.0,15.0,,9.0,,17.0,10.0,17.0,15.0,,16.0,15.0,10.0,11.0,,,16.0,15.0,14.0,,15.0,18.0,17.0,,14.0,7.0,14.0,,9.0,10.0,15.0,,,,15.0,14.0,15.0,,7.0,15.0,18.0,,16.0,10.0,15.0,15.0,15.0,10.0,17.0,15.0,14.0,15.0,13.0,15.0,15.0,,,,7.0,16.0,15.0,,15.0,,15.0,15.0,8.0,16.0,9.0,9.0,15.0,9.0,9.0,,13.0,,17.0,17.0,5.0,15.0,,,,17.0,,1.0,15.0,,15.0,16.0,11.0,11.0,,15.0,13.0,16.0,14.0,15.0,15.0,14.0,13.0,14.0,15.0,15.0,15.0,,15.0,16.0,17.0,16.0,15.0,15.0,18.0,,17.0,0.0,13.0,,12.0,15.0,7.0,16.0,15.0,3.0,5.0,9.0,14.0,,,17.0,15.0,7.0,,16.0,5.0,,15.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.0,,,,,,,,,,,,,
14.0,6.0,12.0,4.0,9.0,,10.0,10.0,10.0,11.0,10.0,,9.0,17.0,12.0,10.0,10.0,11.0,,11.0,10.0,10.0,13.0,14.0,14.0,14.0,11.0,15.0,11.0,11.0,13.0,12.0,,11.0,9.0,8.0,18.0,19.0,9.0,11.0,12.0,,,11.0,11.0,11.0,,6.0,10.0,13.0,16.0,14.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,8.0,10.0,13.0,11.0,11.0,11.0,12.0,18.0,9.0,10.0,11.0,12.0,11.0,,11.0,11.0,10.0,12.0,7.0,7.0,11.0,9.0,19.0,16.0,10.0,,11.0,13.0,5.0,11.0,12.0,,11.0,12.0,11.0,18.0,12.0,,11.0,10.0,13.0,9.0,,11.0,13.0,12.0,10.0,11.0,11.0,8.0,14.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,9.0,11.0,12.0,11.0,12.0,,10.0,18.0,15.0,0.0,10.0,11.0,6.0,10.0,13.0,3.0,5.0,9.0,15.0,,13.0,8.0,10.0,9.0,,12.0,4.0,,11.0,9.0
,5.0,8.0,6.0,2.0,,7.0,0.0,7.0,8.0,7.0,,,,8.0,,,8.0,,7.0,7.0,9.0,,,,,8.0,,,8.0,,8.0,,5.0,,5.0,,,7.0,8.0,,,,8.0,5.0,8.0,,,7.0,,,,9.0,8.0,5.0,8.0,,7.0,8.0,5.0,7.0,7.0,8.0,8.0,,,,8.0,7.0,8.0,,8.0,,8.0,,7.0,7.0,,4.0,8.0,,,,,,7.0,,4.0,4.0,,,,8.0,,,5.0,,4.0,7.0,7.0,6.0,,8.0,,7.0,3.0,8.0,8.0,5.0,,3.0,8.0,8.0,8.0,,8.0,7.0,,7.0,5.0,8.0,,,,,12.0,,0.0,8.0,,7.0,12.0,3.0,4.0,8.0,,,,,7.0,,,7.0,,,,2.0
,6.0,,4.0,9.0,,,8.0,1.0,0.0,1.0,,,,4.0,,,0.0,,,1.0,11.0,,,,,0.0,,,0.0,,,,10.0,,5.0,,,12.0,0.0,,,,7.0,,0.0,,,1.0,,,,14.0,0.0,,0.0,,6.0,0.0,,,14.0,0.0,0.0,,,,11.0,1.0,0.0,,0.0,,0.0,,11.0,3.0,,8.0,0.0,,,,,,,,7.0,9.0,,,,4.0,,,,,,,14.0,10.0,,0.0,,,9.0,0.0,0.0,5.0,,,0.0,,0.0,,0.0,3.0,,6.0,11.0,0.0,,,,,17.0,,,0.0,,,16.0,3.0,7.0,8.0,,,,,,,,,,,,
,0.0,6.0,2.0,6.0,,7.0,5.0,7.0,6.0,7.0,,2.0,,6.0,4.0,,6.0,,7.0,7.0,3.0,4.0,,,,6.0,,,6.0,,6.0,,5.0,4.0,4.0,,,3.0,6.0,,,,5.0,5.0,6.0,,,7.0,,,,3.0,6.0,4.0,6.0,3.0,6.0,6.0,4.0,7.0,7.0,6.0,6.0,,,,3.0,7.0,6.0,,6.0,,6.0,,4.0,7.0,3.0,3.0,6.0,3.0,,,4.0,,6.0,,2.0,5.0,,,,6.0,,,7.0,,5.0,7.0,4.0,4.0,,6.0,7.0,7.0,4.0,6.0,6.0,4.0,,4.0,6.0,5.0,6.0,,6.0,7.0,,7.0,7.0,6.0,,,,,5.0,,5.0,6.0,0.0,7.0,7.0,1.0,2.0,3.0,,,,,7.0,3.0,,7.0,,,,6.0
,7.0,,5.0,8.0,,,7.0,0.0,1.0,0.0,,,,3.0,,,1.0,,,0.0,12.0,,,,,1.0,,,1.0,,,,9.0,,4.0,,,11.0,1.0,,,,6.0,,1.0,,,0.0,,,,13.0,1.0,,1.0,,5.0,1.0,,,13.0,1.0,1.0,,,,10.0,0.0,1.0,,1.0,,1.0,,10.0,2.0,,7.0,1.0,,,,,,,,6.0,8.0,,,,3.0,,,,,,,13.0,10.0,,1.0,,,8.0,1.0,1.0,4.0,,,1.0,,1.0,,1.0,2.0,,5.0,10.0,1.0,,,,,16.0,,,1.0,,0.0,15.0,4.0,6.0,9.0,,,,,,,,,,,,
,7.0,,4.0,13.0,,,12.0,15.0,,15.0,,,,14.0,,,16.0,,,15.0,8.0,,,,,16.0,,,16.0,,,,15.0,,14.0,,,8.0,16.0,,,,15.0,,,,,15.0,,,,11.0,,,,,16.0,16.0,,,13.0,16.0,16.0,,,,9.0,15.0,16.0,,16.0,,,,8.0,15.0,,7.0,16.0,,,,,,,,2.0,14.0,,,,14.0,,,,,,,14.0,10.0,,16.0,,,14.0,,,14.0,,,16.0,,,,,15.0,,15.0,16.0,,,,,,11.0,,,,,,0.0,1.0,2.0,9.0,,,,,,,,,,,,
,1.0,,1.0,3.0,,,3.0,4.0,,4.0,,,,3.0,,,3.0,,,4.0,0.0,,,,,3.0,,,3.0,,,,4.0,,3.0,,,1.0,3.0,,,,3.0,,,,,4.0,,,,1.0,,,,,4.0,3.0,,,3.0,3.0,3.0,,,,0.0,4.0,3.0,,3.0,,,,1.0,4.0,,0.0,3.0,,,,,,,,,2.0,,,,3.0,,,,,,,2.0,1.0,,3.0,,,2.0,,,3.0,,,3.0,,,,,4.0,,3.0,4.0,,,,,,2.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,,,,8.0,,,8.0,9.0,,9.0,,,,8.0,,,8.0,,,9.0,3.0,,,,,8.0,,,8.0,,,,8.0,,7.0,,,3.0,8.0,,,,8.0,,,,,9.0,,,,4.0,,,,,9.0,8.0,,,9.0,8.0,8.0,,,,3.0,9.0,8.0,,8.0,,,,3.0,8.0,,2.0,8.0,,,,,,,,,8.0,,,,8.0,,,,,,,6.0,4.0,,8.0,,,7.0,,,7.0,,,8.0,,,,,8.0,,9.0,8.0,,,,,,7.0,,,,,,,,1.0,0.0,,,,,,,,,,,,
,7.0,7.0,5.0,9.0,,6.0,10.0,6.0,5.0,6.0,,12.0,,7.0,12.0,11.0,5.0,,8.0,6.0,13.0,13.0,,,12.0,5.0,15.0,,5.0,,7.0,,10.0,10.0,8.0,,11.0,12.0,5.0,,,,9.0,10.0,5.0,,4.0,6.0,,,12.0,13.0,5.0,8.0,5.0,13.0,8.0,5.0,8.0,6.0,13.0,5.0,5.0,,,,11.0,6.0,5.0,,5.0,,5.0,,11.0,6.0,8.0,8.0,5.0,8.0,11.0,,10.0,,8.0,,5.0,10.0,,,,7.0,,,11.0,,10.0,6.0,13.0,10.0,,5.0,13.0,6.0,10.0,5.0,5.0,8.0,1.0,10.0,5.0,9.0,5.0,,5.0,6.0,,8.0,11.0,5.0,,,11.0,,14.0,,10.0,5.0,7.0,6.0,16.0,3.0,5.0,8.0,0.0,,,,6.0,11.0,,6.0,5.0,,,9.0
